rx,ry,B_x,B_y,B_z
0,0,24.21,-1.90,1.16
0.20517241379310347,0.036206896551724155,22.62,4.76,0.12
-0.27758620689655167,0.20517241379310347,22.38,6.37,-0.10
0.3258620689655173,0.3017241379310345,12.17,-8.11,-4.16
0.3258620689655173,0.15689655172413797,9.62,3.04,-4.74
0.012068965517241403,0.15689655172413797,13.03,8.02,-3.47
0.15689655172413797,0.10862068965517241,22.40,0.78,-4.92
0.012068965517241403,-0.2293103448275862,22.40,3.43,-3.35
0.2775862068965518,0.15689655172413797,18.01,0.37,6.59
0.22931034482758628,0.15689655172413797,15.82,5.96,-0.51
0.060344827586206906,-0.27758620689655167,17.07,6.88,-3.16
-0.1568965517241379,-0.1568965517241379,15.21,2.51,6.68
0.060344827586206906,0.35,15.99,-6.35,8.92
-0.35,-0.08448275862068966,13.37,-1.14,-4.53
0.18103448275862066,-0.13275862068965516,8.04,-9.56,1.43
-0.253448275862069,0.13275862068965516,16.76,1.78,4.92
0.3017241379310345,0.3258620689655173,14.88,-9.33,-1.39
0.2775862068965518,-0.13275862068965516,10.39,2.35,-4.53
0.036206896551724155,-0.20517241379310341,14.64,7.72,2.25
-0.10862068965517241,-0.012068965517241348,18.31,1.92,8.13
0.060344827586206906,-0.0362068965517241,23.60,-6.64,4.90
0.10862068965517241,-0.253448275862069,24.17,-1.08,3.21
-0.3258620689655172,0.3017241379310345,16.99,2.37,6.88
0.15689655172413797,0.13275862068965516,6.06,-6.12,-2.63
-0.06034482758620685,0.3017241379310345,17.39,1.74,-3.70
-0.1568965517241379,0.18103448275862066,15.48,-2.02,-7.08
0.20517241379310347,0.253448275862069,16.82,-8.09,-6.08
0.012068965517241403,0.2775862068965518,15.44,2.43,-5.41
-0.35,-0.012068965517241348,16.25,0.24,-7.11
-0.18103448275862066,0.15689655172413797,9.60,-10.90,-0.12
-0.012068965517241348,0.13275862068965516,15.23,-11.78,-2.92
-0.06034482758620685,-0.18103448275862066,22.40,-5.14,-3.78
0.15689655172413797,0.22931034482758628,19.11,-4.21,5.72
0.2775862068965518,0.253448275862069,17.25,2.41,-2.57
0.08448275862068966,-0.2293103448275862,13.90,6.23,-4.88
0.012068965517241403,-0.0362068965517241,16.54,2.96,6.00
0.10862068965517241,-0.2293103448275862,24.07,-0.45,5.27
-0.3017241379310345,-0.18103448275862066,18.64,2.06,7.23
0.35,-0.08448275862068966,9.07,-7.57,7.02
-0.35,0.13275862068965516,12.17,5.21,3.29
-0.10862068965517241,-0.18103448275862066,8.41,-8.68,-1.47
-0.0362068965517241,0.22931034482758628,14.29,-7.68,5.63
0.3017241379310345,-0.2293103448275862,17.58,-4.21,-3.47
0.13275862068965516,0.012068965517241403,13.17,5.21,2.72
0.3017241379310345,0.3017241379310345,21.31,5.43,2.27
0.18103448275862066,-0.2293103448275862,13.47,6.43,-3.70
0.35,-0.1568965517241379,14.97,5.72,4.94
0.012068965517241403,0.13275862068965516,13.27,8.11,4.51
-0.27758620689655167,-0.0362068965517241,23.60,0.69,-2.25
0.22931034482758628,0.22931034482758628,15.78,-11.37,2.02
-0.2293103448275862,-0.13275862068965516,15.05,2.04,-3.18
0.3258620689655173,0.18103448275862066,13.90,-7.62,4.49
0.2775862068965518,0.20517241379310347,13.68,4.39,-1.29
0.3258620689655173,-0.27758620689655167,14.90,7.55,-4.04
0.08448275862068966,-0.3258620689655172,11.15,7.43,3.53
-0.3258620689655172,-0.35,11.58,3.06,8.60
