rx,ry,B_x,B_y,B_z
0,0,25.84,-1.40,2.18
-0.2293103448275862,0.35,6.90,-6.88,-6.74
0.18103448275862066,-0.18103448275862066,6.63,-6.98,-6.87
-0.13275862068965516,-0.3258620689655172,16.37,4.95,5.37
-0.0362068965517241,0.22931034482758628,8.16,-3.71,8.55
0.35,-0.35,19.09,-3.53,-5.87
-0.35,-0.0362068965517241,7.84,6.34,4.54
-0.06034482758620685,0.3017241379310345,7.81,-12.36,3.24
-0.3017241379310345,0.3017241379310345,14.97,-4.26,-7.47
0.012068965517241403,0.012068965517241403,5.65,-8.66,-5.64
0.08448275862068966,0.3258620689655173,24.11,-2.07,1.30
0.012068965517241403,0.20517241379310347,14.32,1.41,-6.73
0.3017241379310345,-0.3258620689655172,19.89,-1.17,-5.42
0.13275862068965516,-0.13275862068965516,8.93,6.09,5.05
-0.18103448275862066,0.20517241379310347,18.82,4.01,5.58
0.18103448275862066,-0.253448275862069,15.82,-9.47,-5.13
-0.20517241379310341,0.35,13.69,4.40,6.22
0.22931034482758628,0.3258620689655173,7.65,-6.56,-6.91
0.35,-0.1568965517241379,11.73,5.05,-5.60
0.20517241379310347,0.18103448275862066,11.92,8.44,3.28
-0.27758620689655167,-0.012068965517241348,19.52,7.11,-3.76
-0.18103448275862066,0.13275862068965516,13.34,-13.05,2.73
-0.08448275862068966,-0.0362068965517241,18.61,-11.48,-2.54
0.08448275862068966,-0.0362068965517241,22.36,-7.10,3.70
0.3258620689655173,0.15689655172413797,22.86,1.40,2.99
0.060344827586206906,-0.012068965517241348,13.86,8.13,-2.32
-0.13275862068965516,-0.2293103448275862,25.42,1.65,2.60
0.036206896551724155,-0.18103448275862066,13.28,-5.79,9.35
0.20517241379310347,-0.0362068965517241,19.48,-0.47,8.43
0.22931034482758628,0.20517241379310347,20.47,6.18,2.77
0.15689655172413797,0.2775862068965518,16.89,6.49,-3.92
-0.0362068965517241,-0.10862068965517241,16.42,4.32,-6.16
-0.27758620689655167,0.22931034482758628,22.74,-3.44,6.82
0.012068965517241403,0.3258620689655173,9.76,-11.28,-5.09
-0.20517241379310341,-0.35,14.87,-1.41,-8.07
-0.2293103448275862,0.10862068965517241,5.78,-5.06,7.73
0.060344827586206906,0.3017241379310345,15.63,-12.41,-1.26
-0.3017241379310345,0.2775862068965518,15.83,0.42,-6.92
0.20517241379310347,-0.2293103448275862,6.33,-8.99,-5.36
-0.012068965517241348,-0.35,14.03,5.18,5.84
0.012068965517241403,-0.012068965517241348,9.56,-0.62,8.74
-0.20517241379310341,0.22931034482758628,24.19,-1.19,3.60
0.060344827586206906,-0.35,13.54,-9.61,-5.51
-0.012068965517241348,0.22931034482758628,10.44,0.99,8.01
0.3258620689655173,0.2775862068965518,19.03,-2.29,-5.65
0.036206896551724155,-0.06034482758620685,10.87,6.94,-4.23
-0.0362068965517241,-0.0362068965517241,25.60,0.04,4.56
-0.27758620689655167,0.2775862068965518,24.86,-3.54,4.13
0.13275862068965516,0.15689655172413797,7.87,-9.53,-5.67
0.22931034482758628,-0.3258620689655172,20.92,3.26,-3.60
-0.06034482758620685,0.036206896551724155,10.33,5.20,6.37
0.18103448275862066,0.012068965517241403,25.13,-5.14,1.82
-0.18103448275862066,-0.0362068965517241,21.80,5.36,1.28
0.18103448275862066,-0.27758620689655167,19.17,-10.47,4.51
-0.13275862068965516,-0.253448275862069,13.05,4.35,6.96
-0.3258620689655172,-0.3258620689655172,11.36,-4.84,8.94
0.3258620689655173,0.036206896551724155,3.85,-6.88,7.23
-0.13275862068965516,-0.10862068965517241,15.21,8.76,0.24
0.35,-0.10862068965517241,19.02,-7.42,6.94
-0.3017241379310345,0.15689655172413797,13.28,8.63,3.05
-0.13275862068965516,0.253448275862069,10.26,-12.31,-2.98
0.060344827586206906,-0.18103448275862066,15.59,-7.81,-6.71
-0.08448275862068966,-0.35,18.43,0.81,6.84
0.253448275862069,0.15689655172413797,8.40,-2.49,8.53
0.3258620689655173,0.35,16.71,7.12,-2.52
0.13275862068965516,-0.18103448275862066,8.88,6.39,-4.67
0.18103448275862066,-0.0362068965517241,19.04,4.02,7.39
0.2775862068965518,-0.18103448275862066,22.52,5.74,3.41
0.08448275862068966,-0.3017241379310345,14.89,7.61,5.22
