rx,ry,B_x,B_y,B_z
0,0,34.75,-0.67,-11.94
0.262,0.11744827586206896,6.77,5.56,-5.06
-0.04517241379310344,-0.262,6.35,5.66,-4.95
0.009034482758620732,-0.009034482758620677,25.42,-4.16,8.29
0.262,-0.20779310344827587,46.06,4.22,-14.07
0.009034482758620732,0.04517241379310344,11.96,6.37,-0.07
-0.20779310344827587,0.11744827586206896,33.00,3.15,-19.23
0.06324137931034485,0.2258620689655173,9.86,-13.51,-13.18
-0.22586206896551725,0.09937931034482761,6.00,1.17,-10.26
-0.20779310344827587,-0.13551724137931034,8.88,-14.35,-12.07
0.009034482758620732,-0.15358620689655172,26.98,-23.25,-0.26
0.09937931034482761,-0.009034482758620677,43.76,0.92,3.37
0.2077931034482759,0.24393103448275866,30.02,11.20,-9.10
-0.06324137931034482,0.027103448275862085,5.58,3.62,-6.37
-0.027103448275862058,-0.027103448275862058,33.74,-6.25,-19.92
0.17165517241379313,-0.20779310344827587,49.35,-2.26,-15.79
-0.20779310344827587,0.13551724137931037,17.56,7.51,1.88
-0.1897241379310345,0.24393103448275866,8.36,-12.16,-12.07
-0.1897241379310345,-0.027103448275862058,3.04,-7.24,-9.05
-0.06324137931034482,-0.04517241379310344,21.54,-19.72,-12.73
-0.09937931034482758,0.17165517241379313,45.81,-11.48,-14.82
0.06324137931034485,0.24393103448275866,10.18,-6.90,-14.93
0.04517241379310344,0.009034482758620732,5.36,0.79,-9.53
0.11744827586206896,-0.09937931034482758,32.52,7.01,-14.69
0.08131034482758626,-0.24393103448275863,27.49,10.72,-2.71
-0.0813103448275862,0.1897241379310345,22.48,4.59,4.90
0.1897241379310345,-0.13551724137931034,8.37,-4.65,-13.39
-0.09937931034482758,0.06324137931034485,16.66,9.09,-0.61
-0.22586206896551725,0.009034482758620732,27.59,-9.72,-18.75
0.17165517241379313,-0.0813103448275862,19.18,-20.83,-11.21
0.2077931034482759,0.262,19.65,9.99,-2.84
-0.027103448275862058,-0.09937931034482758,5.63,3.26,-6.12
0.17165517241379313,-0.24393103448275863,49.90,-2.37,-3.28
-0.0813103448275862,0.13551724137931037,16.17,6.14,2.60
0.15358620689655178,-0.262,14.76,-5.91,-17.15
0.2077931034482759,0.11744827586206896,16.17,5.38,2.80
-0.24393103448275863,0.04517241379310344,8.33,6.23,-6.38
0.09937931034482761,-0.22586206896551725,12.49,-17.76,-10.67
0.027103448275862085,-0.06324137931034482,22.88,5.39,4.12
-0.06324137931034482,-0.24393103448275863,44.71,6.02,-5.74
0.17165517241379313,-0.1897241379310345,28.46,-5.95,7.65
0.11744827586206896,-0.15358620689655172,17.56,7.73,1.93
-0.24393103448275863,0.06324137931034485,25.08,8.78,1.81
0.15358620689655178,-0.22586206896551725,11.95,-16.98,-10.56
-0.24393103448275863,0.15358620689655178,17.64,6.44,2.68
0.08131034482758626,0.17165517241379313,5.41,-11.12,-9.38
0.009034482758620732,-0.11744827586206896,9.12,2.90,-11.14
-0.04517241379310344,-0.24393103448275863,44.08,2.82,-1.60
-0.262,-0.24393103448275863,28.57,-4.36,7.37
0.09937931034482761,-0.24393103448275863,15.28,-14.53,3.98
-0.009034482758620677,-0.1716551724137931,20.66,4.81,4.43
0.2077931034482759,0.04517241379310344,36.84,-0.08,5.65
