rx,ry,B_x,B_y,B_z
0,0,26.85,-1.81,-10.68
0.1897241379310345,0.06324137931034485,29.89,7.75,-12.09
0.2258620689655173,-0.13551724137931034,29.92,7.92,-12.10
-0.15358620689655172,-0.1716551724137931,24.21,12.75,-1.79
0.17165517241379313,-0.0813103448275862,44.16,-10.38,2.35
0.06324137931034485,0.027103448275862085,40.76,10.54,0.25
0.15358620689655178,-0.06324137931034482,49.85,0.34,-0.26
-0.009034482758620677,-0.06324137931034482,44.21,8.47,0.64
0.027103448275862085,-0.04517241379310344,46.25,-6.10,8.68
0.1897241379310345,-0.20779310344827587,48.03,-4.60,6.96
-0.13551724137931034,-0.027103448275862058,25.06,10.09,3.91
-0.027103448275862058,-0.15358620689655172,43.45,-14.17,5.07
0.04517241379310344,-0.13551724137931034,42.43,-8.48,10.89
0.11744827586206896,0.262,44.76,-4.05,9.58
0.13551724137931037,-0.1897241379310345,8.18,1.81,-11.51
-0.09937931034482758,0.06324137931034485,33.54,10.48,2.50
-0.24393103448275863,0.06324137931034485,48.15,-12.14,-4.60
-0.24393103448275863,0.009034482758620732,21.36,-20.77,-9.87
-0.22586206896551725,-0.027103448275862058,23.83,-22.65,-8.57
0.09937931034482761,0.13551724137931037,27.08,-24.04,-7.32
-0.20779310344827587,0.009034482758620732,31.85,-2.93,-18.88
-0.009034482758620677,0.15358620689655178,30.54,-23.23,-7.60
-0.09937931034482758,0.15358620689655178,30.19,-13.13,-17.68
-0.1716551724137931,-0.262,25.91,-16.90,-15.59
0.17165517241379313,-0.1716551724137931,23.77,-15.23,5.00
0.027103448275862085,0.08131034482758626,30.88,8.65,4.92
-0.22586206896551725,-0.15358620689655172,45.73,-2.08,-2.22
0.1897241379310345,-0.009034482758620677,28.04,-18.98,3.32
-0.262,0.17165517241379313,37.99,10.75,-3.51
0.2258620689655173,-0.20779310344827587,7.97,-12.65,-9.28
-0.262,-0.13551724137931034,20.32,9.71,2.54
0.09937931034482761,-0.0813103448275862,23.11,-18.93,1.07
0.04517241379310344,-0.20779310344827587,46.39,-4.98,4.69
0.04517241379310344,0.17165517241379313,39.71,-4.25,8.82
-0.20779310344827587,-0.04517241379310344,31.47,-5.81,-17.53
-0.1897241379310345,-0.24393103448275863,32.07,-24.27,-3.96
-0.11744827586206896,-0.1716551724137931,24.31,-16.40,4.45
-0.04517241379310344,0.2077931034482759,31.98,-19.42,6.03
0.15358620689655178,0.13551724137931037,18.37,-11.67,-16.17
-0.1716551724137931,0.08131034482758626,24.19,3.05,-17.40
0.24393103448275866,-0.20779310344827587,27.00,-21.17,-11.23
0.2258620689655173,0.1897241379310345,18.52,9.57,2.01
