rx,ry,B_x,B_y,B_z
0,0,37.36,1.16,3.53
-0.13275862068965516,-0.08448275862068966,27.20,-10.35,8.31
-0.20517241379310341,-0.1568965517241379,26.40,-11.10,8.58
-0.20517241379310341,-0.27758620689655167,16.53,-11.80,7.55
0.20517241379310347,-0.2293103448275862,12.12,-9.03,6.55
-0.06034482758620685,-0.13275862068965516,11.20,2.96,4.44
0.18103448275862066,0.35,22.76,-4.15,9.84
-0.1568965517241379,0.13275862068965516,12.30,2.81,-4.53
0.22931034482758628,-0.2293103448275862,27.61,-13.29,-5.76
0.3258620689655173,0.3258620689655173,12.16,2.88,3.11
-0.012068965517241348,0.35,9.89,4.30,-2.02
0.2775862068965518,0.2775862068965518,13.41,-2.59,-8.61
0.20517241379310347,0.3258620689655173,10.56,4.37,-4.00
-0.06034482758620685,0.22931034482758628,10.88,3.68,-5.11
-0.13275862068965516,0.08448275862068966,23.92,-5.84,-10.19
0.20517241379310347,-0.13275862068965516,33.67,-13.92,-3.22
0.2775862068965518,-0.3258620689655172,14.31,4.70,3.92
0.253448275862069,0.253448275862069,10.67,3.06,2.22
0.22931034482758628,0.2775862068965518,10.75,4.96,-3.72
0.060344827586206906,-0.20517241379310341,10.95,4.58,-4.69
0.13275862068965516,-0.18103448275862066,15.96,1.21,7.45
0.036206896551724155,-0.35,14.84,3.54,6.73
0.036206896551724155,0.22931034482758628,12.78,-0.56,5.97
-0.27758620689655167,0.08448275862068966,23.46,0.83,-8.99
0.012068965517241403,-0.10862068965517241,16.59,-16.05,-2.02
0.35,0.253448275862069,26.31,-0.87,8.90
0.253448275862069,0.2775862068965518,10.32,4.67,-1.37
-0.35,-0.012068965517241348,10.33,4.69,-3.82
-0.10862068965517241,0.08448275862068966,10.01,-13.77,1.28
0.036206896551724155,0.20517241379310347,34.64,-12.90,-1.88
0.2775862068965518,0.253448275862069,27.27,0.56,-8.67
0.012068965517241403,-0.18103448275862066,11.39,4.99,-3.75
-0.13275862068965516,0.20517241379310347,18.91,-0.27,8.63
0.18103448275862066,-0.06034482758620685,24.10,-10.74,-7.48
0.20517241379310347,-0.20517241379310341,18.25,6.59,3.15
-0.253448275862069,0.22931034482758628,11.93,4.45,4.29
0.13275862068965516,-0.27758620689655167,13.03,-12.47,-5.08
-0.2293103448275862,0.08448275862068966,12.31,1.13,4.91
-0.27758620689655167,0.2775862068965518,21.18,-16.22,-0.93
0.2775862068965518,0.22931034482758628,12.04,-12.81,-5.16
-0.35,-0.18103448275862066,10.38,4.42,-3.32
0.012068965517241403,0.22931034482758628,10.25,-11.23,3.58
0.3258620689655173,0.15689655172413797,23.62,-0.78,-8.98
-0.0362068965517241,0.18103448275862066,10.28,5.36,-2.21
0.22931034482758628,0.08448275862068966,29.36,-3.06,-8.81
0.060344827586206906,0.08448275862068966,15.83,7.67,-1.62
-0.20517241379310341,-0.3017241379310345,31.78,6.07,-2.09
0.35,-0.10862068965517241,13.19,-7.45,5.69
0.060344827586206906,-0.3017241379310345,9.38,4.10,1.76
-0.1568965517241379,-0.0362068965517241,11.99,0.34,6.20
0.036206896551724155,-0.20517241379310341,27.57,-13.22,6.79
-0.3258620689655172,-0.0362068965517241,18.26,-0.51,9.04
-0.10862068965517241,-0.2293103448275862,11.75,-14.25,3.21
0.08448275862068966,-0.3258620689655172,15.21,-7.13,8.70
0.18103448275862066,-0.2293103448275862,12.65,0.17,6.24
0.13275862068965516,-0.35,11.45,3.36,5.20
0.35,0.012068965517241403,11.77,1.55,4.67
0.15689655172413797,0.3017241379310345,9.26,5.46,0.67
-0.012068965517241348,-0.06034482758620685,12.03,3.70,-6.36
0.2775862068965518,0.012068965517241403,32.08,-0.75,7.43
-0.08448275862068966,-0.27758620689655167,12.55,6.65,1.10
0.253448275862069,0.18103448275862066,13.41,-4.29,7.71
-0.08448275862068966,-0.3258620689655172,11.53,5.98,-2.43
-0.1568965517241379,0.253448275862069,13.13,-4.10,6.54
0.060344827586206906,-0.3258620689655172,17.65,-10.63,-7.88
0.3017241379310345,0.10862068965517241,13.25,-0.54,5.34
-0.0362068965517241,-0.20517241379310341,10.12,6.11,-0.67
0.012068965517241403,-0.08448275862068966,17.53,-2.52,9.03
0.13275862068965516,-0.0362068965517241,27.57,0.53,9.53
-0.06034482758620685,-0.3017241379310345,23.92,7.52,5.22
0.036206896551724155,0.060344827586206906,14.20,-3.25,7.63
-0.18103448275862066,0.2775862068965518,36.03,3.61,0.85
0.22931034482758628,0.20517241379310347,16.20,-10.08,-7.63
-0.012068965517241348,-0.3017241379310345,12.06,5.15,-4.29
0.22931034482758628,0.10862068965517241,13.68,-1.59,6.83
0.10862068965517241,-0.18103448275862066,14.34,7.55,-1.20
0.2775862068965518,-0.3017241379310345,15.94,3.93,6.64
-0.06034482758620685,-0.10862068965517241,10.82,3.20,2.73
0.2775862068965518,-0.20517241379310341,26.22,-5.13,9.73
-0.10862068965517241,-0.18103448275862066,11.33,3.91,3.38
-0.18103448275862066,0.13275862068965516,18.16,-6.80,9.45
-0.0362068965517241,0.22931034482758628,25.85,-15.81,-4.07
-0.18103448275862066,0.060344827586206906,25.37,-5.01,-10.47
0.012068965517241403,0.253448275862069,28.84,-16.32,-1.84
-0.2293103448275862,-0.18103448275862066,22.33,-1.73,-9.94
-0.2293103448275862,0.35,13.87,-11.12,5.66
0.22931034482758628,-0.27758620689655167,11.95,-10.55,-5.83
-0.18103448275862066,-0.012068965517241348,11.09,2.47,2.93
0.3258620689655173,-0.06034482758620685,26.49,-14.61,4.70
-0.1568965517241379,0.036206896551724155,10.66,4.45,1.42
-0.13275862068965516,0.012068965517241403,30.90,-14.08,1.48
-0.27758620689655167,-0.35,34.39,-13.57,3.26
0.13275862068965516,-0.13275862068965516,13.09,-9.25,4.58
-0.10862068965517241,0.2775862068965518,17.14,4.99,6.20
-0.27758620689655167,-0.2293103448275862,18.12,-6.85,-8.97
-0.10862068965517241,-0.06034482758620685,11.61,-10.86,4.51
0.3017241379310345,0.08448275862068966,9.94,5.50,-0.37
-0.0362068965517241,-0.18103448275862066,9.84,6.60,-0.78
-0.3017241379310345,-0.3258620689655172,19.50,-2.33,9.24
0.10862068965517241,-0.0362068965517241,11.76,-8.97,5.07
0.036206896551724155,-0.3258620689655172,24.49,6.77,4.93
0.036206896551724155,0.35,13.86,0.20,6.49
0.3258620689655173,-0.3017241379310345,13.66,-0.28,-7.72
-0.10862068965517241,0.3017241379310345,10.03,3.11,0.72
-0.27758620689655167,0.20517241379310347,14.99,-6.81,-8.95
-0.253448275862069,0.20517241379310347,12.13,-13.59,-5.44
-0.2293103448275862,0.10862068965517241,13.56,-14.01,-5.78
-0.0362068965517241,0.20517241379310347,20.22,-16.79,-3.87
0.13275862068965516,-0.20517241379310341,26.77,-5.18,-10.20
0.35,0.060344827586206906,14.87,3.12,5.37
0.18103448275862066,0.10862068965517241,9.31,5.66,0.23
0.3258620689655173,0.35,18.47,8.07,-2.39
0.20517241379310347,0.012068965517241403,10.95,4.39,-2.65
-0.3258620689655172,-0.3017241379310345,17.63,8.29,1.42
0.15689655172413797,-0.13275862068965516,11.45,-9.07,4.59
0.060344827586206906,0.2775862068965518,15.83,5.29,5.91
-0.06034482758620685,-0.35,17.82,2.16,-8.42
-0.0362068965517241,0.253448275862069,13.85,-3.53,5.72
0.036206896551724155,-0.13275862068965516,21.49,-3.57,-9.59
