rx,ry,B_x,B_y,B_z
-0.132758621,-0.084482759,26.4,-11.1,8.58
-0.205172414,-0.156896552,16.53,-11.8,7.55
-0.205172414,-0.277586207,12.12,-9.03,6.55
0.205172414,-0.229310345,11.2,2.96,4.44
-0.060344828,-0.132758621,22.76,-4.15,9.84
0.181034483,0.35,12.3,2.81,-4.53
-0.156896552,0.132758621,27.61,-13.29,-5.76
0.229310345,-0.229310345,12.16,2.88,3.11
0.325862069,0.325862069,9.89,4.3,-2.02
-0.012068966,0.35,13.41,-2.59,-8.61
0.277586207,0.277586207,10.56,4.37,-4
0.205172414,0.325862069,10.88,3.68,-5.11
-0.060344828,0.229310345,23.92,-5.84,-10.19
-0.132758621,0.084482759,33.67,-13.92,-3.22
0.205172414,-0.132758621,14.31,4.7,3.92
0.277586207,-0.325862069,10.67,3.06,2.22
0.253448276,0.253448276,10.75,4.96,-3.72
0.229310345,0.277586207,10.95,4.58,-4.69
0.060344828,-0.205172414,15.96,1.21,7.45
0.132758621,-0.181034483,14.84,3.54,6.73
0.036206897,-0.35,12.78,-0.56,5.97
0.036206897,0.229310345,23.46,0.83,-8.99
-0.277586207,0.084482759,16.59,-16.05,-2.02
0.012068966,-0.10862069,26.31,-0.87,8.9
0.35,0.253448276,10.32,4.67,-1.37
0.253448276,0.277586207,10.33,4.69,-3.82
-0.35,-0.012068966,10.01,-13.77,1.28
-0.10862069,0.084482759,34.64,-12.9,-1.88
0.036206897,0.205172414,27.27,0.56,-8.67
0.277586207,0.253448276,11.39,4.99,-3.75
0.012068966,-0.181034483,18.91,-0.27,8.63
-0.132758621,0.205172414,24.1,-10.74,-7.48
0.181034483,-0.060344828,18.25,6.59,3.15
0.205172414,-0.205172414,11.93,4.45,4.29
-0.253448276,0.229310345,13.03,-12.47,-5.08
0.132758621,-0.277586207,12.31,1.13,4.91
-0.229310345,0.084482759,21.18,-16.22,-0.93
-0.277586207,0.277586207,12.04,-12.81,-5.16
0.277586207,0.229310345,10.38,4.42,-3.32
-0.35,-0.181034483,10.25,-11.23,3.58
0.012068966,0.229310345,23.62,-0.78,-8.98
0.325862069,0.156896552,10.28,5.36,-2.21
-0.036206897,0.181034483,29.36,-3.06,-8.81
0.229310345,0.084482759,15.83,7.67,-1.62
0.060344828,0.084482759,31.78,6.07,-2.09
-0.205172414,-0.301724138,13.19,-7.45,5.69
0.35,-0.10862069,9.38,4.1,1.76
0.060344828,-0.301724138,11.99,0.34,6.2
-0.156896552,-0.036206897,27.57,-13.22,6.79
0.036206897,-0.205172414,18.26,-0.51,9.04
-0.325862069,-0.036206897,11.75,-14.25,3.21
-0.10862069,-0.229310345,15.21,-7.13,8.7
0.084482759,-0.325862069,12.65,0.17,6.24
0.181034483,-0.229310345,11.45,3.36,5.2
0.132758621,-0.35,11.77,1.55,4.67
0.35,0.012068966,9.26,5.46,0.67
0.156896552,0.301724138,12.03,3.7,-6.36
-0.012068966,-0.060344828,32.08,-0.75,7.43
0.277586207,0.012068966,12.55,6.65,1.1
-0.084482759,-0.277586207,13.41,-4.29,7.71
0.253448276,0.181034483,11.53,5.98,-2.43
-0.084482759,-0.325862069,13.13,-4.1,6.54
-0.156896552,0.253448276,17.65,-10.63,-7.88
0.060344828,-0.325862069,13.25,-0.54,5.34
0.301724138,0.10862069,10.12,6.11,-0.67
-0.036206897,-0.205172414,17.53,-2.52,9.03
0.012068966,-0.084482759,27.57,0.53,9.53
0.132758621,-0.036206897,23.92,7.52,5.22
-0.060344828,-0.301724138,14.2,-3.25,7.63
0.036206897,0.060344828,36.03,3.61,0.85
-0.181034483,0.277586207,16.2,-10.08,-7.63
0.229310345,0.205172414,12.06,5.15,-4.29
-0.012068966,-0.301724138,13.68,-1.59,6.83
0.229310345,0.10862069,14.34,7.55,-1.2
0.10862069,-0.181034483,15.94,3.93,6.64
0.277586207,-0.301724138,10.82,3.2,2.73
-0.060344828,-0.10862069,26.22,-5.13,9.73
0.277586207,-0.205172414,11.33,3.91,3.38
-0.10862069,-0.181034483,18.16,-6.8,9.45
-0.181034483,0.132758621,25.85,-15.81,-4.07
-0.036206897,0.229310345,25.37,-5.01,-10.47
-0.181034483,0.060344828,28.84,-16.32,-1.84
0.012068966,0.253448276,22.33,-1.73,-9.94
-0.229310345,-0.181034483,13.87,-11.12,5.66
-0.229310345,0.35,11.95,-10.55,-5.83
0.229310345,-0.277586207,11.09,2.47,2.93
-0.181034483,-0.012068966,26.49,-14.61,4.7
0.325862069,-0.060344828,10.66,4.45,1.42
-0.156896552,0.036206897,30.9,-14.08,1.48
-0.132758621,0.012068966,34.39,-13.57,3.26
-0.277586207,-0.35,13.09,-9.25,4.58
0.132758621,-0.132758621,17.14,4.99,6.2
-0.10862069,0.277586207,18.12,-6.85,-8.97
-0.277586207,-0.229310345,11.61,-10.86,4.51
-0.10862069,-0.060344828,9.94,5.5,-0.37
0.301724138,0.084482759,9.84,6.6,-0.78
-0.036206897,-0.181034483,19.5,-2.33,9.24
-0.301724138,-0.325862069,11.76,-8.97,5.07
0.10862069,-0.036206897,24.49,6.77,4.93
0.036206897,-0.325862069,13.86,0.2,6.49
0.036206897,0.35,13.66,-0.28,-7.72
0.325862069,-0.301724138,10.03,3.11,0.72
-0.10862069,0.301724138,14.99,-6.81,-8.95
-0.277586207,0.205172414,12.13,-13.59,-5.44
-0.253448276,0.205172414,13.56,-14.01,-5.78
-0.229310345,0.10862069,20.22,-16.79,-3.87
-0.036206897,0.205172414,26.77,-5.18,-10.2
0.132758621,-0.205172414,14.87,3.12,5.37
0.35,0.060344828,9.31,5.66,0.23
0.181034483,0.10862069,18.47,8.07,-2.39
0.325862069,0.35,10.95,4.39,-2.65
0.205172414,0.012068966,17.63,8.29,1.42
-0.325862069,-0.301724138,11.45,-9.07,4.59
0.156896552,-0.132758621,15.83,5.29,5.91
0.060344828,0.277586207,17.82,2.16,-8.42
-0.060344828,-0.35,13.85,-3.53,5.72
-0.036206897,0.253448276,21.49,-3.57,-9.59
0.036206897,-0.132758621,23.72,1.58,7.91
0.084482759,-0.181034483,18.19,3.07,7.98
0.35,-0.132758621,9.81,4.72,1.97
0.10862069,0.301724138,13.41,2.51,-7.36
0.132758621,0.35,12.07,2.23,-7.01
-0.181034483,-0.060344828,23.52,-13.85,5.62
0.012068966,-0.229310345,17,-1.84,8.78
-0.325862069,0.181034483,11.07,-13.72,-2.52
-0.35,-0.325862069,10.86,-10.41,2.94
0.35,-0.084482759,9.25,4.42,1.35
-0.10862069,-0.132758621,22.71,-7.5,9.66
0.084482759,0.181034483,25.56,4.54,-6.53
-0.156896552,-0.325862069,13.19,-6.19,5.65
0.181034483,-0.156896552,13.34,4.56,5.19
-0.229310345,-0.35,11.64,-7.09,5.37
0.10862069,0.036206897,27.87,7.75,1.42
0.253448276,-0.012068966,13.53,7.89,1.24
0.229310345,-0.205172414,11.12,4.78,3.49
-0.084482759,-0.132758621,23.54,-5.73,9.99
0.012068966,-0.277586207,14.82,-1.35,8.31
-0.325862069,0.10862069,11.83,-14.88,-1.18
-0.156896552,0.156896552,25.85,-14.71,-6.66
-0.156896552,-0.156896552,19.88,-10.93,7.87
-0.35,0.156896552,10.97,-14.55,-1.79
-0.156896552,0.012068966,30.45,-15.45,2.44
-0.156896552,0.181034483,25.31,-13.69,-7.26
-0.229310345,-0.205172414,13.38,-11.2,5.87
0.301724138,-0.156896552,10.04,3.98,2.62
0.084482759,-0.301724138,11.76,1.03,5.94
-0.301724138,0.301724138,11,-11.56,-4.78
-0.253448276,-0.060344828,17.27,-15.77,3.98
-0.205172414,0.084482759,25.17,-17.44,-1.49
-0.277586207,-0.060344828,15.99,-15.96,3.61
0.301724138,-0.036206897,10.3,4.98,1.37
-0.277586207,0.060344828,16.5,-15.8,-0.25
0.156896552,0.156896552,19.75,6.44,-4.6
0.060344828,0.301724138,15.83,1.59,-8.53
-0.156896552,-0.10862069,22.61,-10.9,7.28
0.10862069,0.084482759,28.11,7.09,-1.35
0.205172414,-0.084482759,15.43,7.2,3.22
-0.277586207,-0.084482759,14.13,-13.28,4.73
0.060344828,-0.012068966,30.89,4.13,4.96
-0.229310345,-0.253448276,12.77,-8.66,6.29
-0.229310345,0.229310345,14.82,-13.05,-5.84
0.036206897,-0.036206897,31.62,2.63,5.5
0.181034483,0.084482759,20.39,9,-0.93
0.10862069,-0.084482759,22.2,6.63,5.69
0.301724138,-0.205172414,10.71,4.61,2.44
-0.253448276,0.156896552,16.2,-14.61,-4.09
0.156896552,-0.156896552,15.05,4.05,5.11
0.253448276,-0.325862069,10.96,2.98,2.72
-0.205172414,-0.325862069,10.89,-6.95,5.49
-0.301724138,0.205172414,11.39,-13.76,-3.83
0.277586207,0.132758621,10.66,5.6,-2.22
-0.084482759,-0.35,12.97,-3.78,6.2
-0.253448276,0.325862069,11.76,-10.87,-5.65
0.156896552,0.277586207,12.78,3.42,-6.55
-0.205172414,-0.181034483,14.89,-10.12,6.68
0.253448276,-0.060344828,11.56,5.68,2.58
-0.10862069,-0.253448276,13.8,-5.19,8.1
0.277586207,0.205172414,10.5,5.34,-2.21
0.036206897,-0.060344828,28.78,3.75,6.85
0.084482759,0.35,13.81,1.53,-6.73
0.325862069,0.205172414,9.59,5.18,-2.64
