rx,ry,B_x,B_y,B_z
0,0,36.14,1.70,4.35
0.0001,-0.524,15.08,-1.71,2.31
0.0001,-0.5026122448979592,13.56,-1.87,2.14
0.0001,-0.48122448979591836,13.42,-1.92,2.85
0.0001,-0.45983673469387754,13.27,-2.01,3.49
0.0001,-0.43844897959183676,13.04,-1.99,3.98
0.0001,-0.41706122448979593,12.76,-2.05,4.45
0.0001,-0.3956734693877551,12.53,-2.02,4.96
0.0001,-0.37428571428571433,12.25,-1.98,5.31
0.0001,-0.3528979591836735,12.12,-1.95,5.78
0.0001,-0.3315102040816327,12.24,-1.94,6.24
0.0001,-0.31012244897959185,12.80,-1.78,7.13
0.0001,-0.288734693877551,12.79,-1.78,7.17
0.0001,-0.2673469387755102,13.43,-1.71,7.56
0.0001,-0.24595918367346936,14.22,-1.66,7.94
0.0001,-0.2245714285714286,15.47,-1.54,8.35
0.0001,-0.20318367346938776,17.12,-1.32,8.89
0.0001,-0.18179591836734693,19.04,-1.13,9.26
0.0001,-0.1604081632653061,20.98,-1.02,9.63
0.0001,-0.13902040816326527,22.80,-0.78,9.79
0.0001,-0.1176326530612245,24.94,-0.61,9.77
0.0001,-0.09624489795918367,27.18,-0.37,9.56
0.0001,-0.07485714285714284,29.42,-0.12,9.17
0.0001,-0.053469387755102016,31.79,0.09,8.57
0.0001,-0.03208163265306119,33.97,0.26,7.63
0.0001,-0.010693877551020359,35.40,0.42,6.59
0.0001,0.01069387755102047,37.06,0.52,5.23
0.0001,0.0320816326530613,38.42,0.56,3.69
0.0001,0.053469387755102016,39.46,0.51,1.94
0.0001,0.07485714285714284,39.79,0.55,0.02
0.0001,0.09624489795918367,39.68,0.38,-1.92
0.0001,0.1176326530612245,38.79,0.35,-3.88
0.0001,0.13902040816326533,37.34,0.12,-5.63
0.0001,0.16040816326530616,35.26,-0.06,-7.15
0.0001,0.181795918367347,32.95,-0.32,-8.46
0.0001,0.20318367346938782,30.29,-0.53,-9.33
0.0001,0.22457142857142864,27.72,-0.83,-10.02
0.0001,0.24595918367346947,25.09,-1.04,-10.33
0.0001,0.2673469387755103,22.62,-1.24,-10.44
0.0001,0.288734693877551,20.34,-1.42,-10.30
0.0001,0.31012244897959185,18.12,-1.61,-10.08
0.0001,0.3315102040816327,16.19,-1.78,-9.75
0.0001,0.3528979591836735,14.49,-1.89,-9.36
0.0001,0.37428571428571433,14.01,-2.01,-8.98
0.0001,0.39567346938775516,14.01,-2.01,-8.67
0.0001,0.417061224489796,14.11,-1.98,-8.38
0.0001,0.4384489795918368,14.15,-2.00,-7.97
0.0001,0.45983673469387765,14.01,-2.02,-7.63
0.0001,0.48122448979591836,14.12,-2.11,-7.26
0.0001,0.5026122448979593,14.44,-2.09,-6.84
0.0001,0.524,15.09,-2.11,-6.30
