rx,ry,B_x,B_y,B_z
0,0,55.04,-0.39,5.65
-0.2753315789473684,-0.34418947368421055,20.05,-4.97,11.15
-0.32123684210526315,-0.06875789473684213,11.60,-11.83,6.49
-0.06875789473684213,-0.18352105263157897,11.28,-18.30,4.38
-0.2982842105263158,-0.2294263157894737,20.23,-9.02,12.34
0.0001,-0.34418947368421055,10.78,-14.17,6.85
-0.13761578947368425,-0.11466315789473686,13.30,-4.97,8.36
-0.2982842105263158,-0.20647368421052634,24.25,-14.11,12.13
-0.11466315789473686,-0.2294263157894737,11.09,-15.13,6.69
-0.06875789473684213,-0.2294263157894737,15.13,-10.30,10.60
-0.3671421052631579,-0.18352105263157897,16.38,-7.79,11.42
-0.34418947368421055,-0.04580526315789474,9.70,-15.25,5.24
-0.13761578947368425,-0.436,10.19,-18.54,3.34
-0.022852631578947402,-0.13761578947368425,12.90,-9.22,6.00
-0.20647368421052634,-0.32123684210526315,25.93,-4.62,13.24
-0.2294263157894737,-0.11466315789473686,12.42,-10.81,8.02
-0.436,0.0001,17.24,-17.82,8.62
-0.2294263157894737,-0.3671421052631579,8.50,-18.01,1.64
-0.32123684210526315,-0.39009473684210527,11.40,-11.77,6.09
0.0001,-0.20647368421052634,12.26,-12.04,5.00
-0.09171052631578952,-0.34418947368421055,18.94,-3.25,11.65
-0.04580526315789474,-0.11466315789473686,13.90,-6.99,9.16
-0.09171052631578952,-0.4130473684210526,29.82,-6.07,14.12
-0.04580526315789474,-0.13761578947368425,15.07,-7.18,7.72
-0.04580526315789474,-0.2982842105263158,26.55,-6.09,13.67
-0.2982842105263158,-0.436,14.76,-5.76,10.17
-0.20647368421052634,-0.022852631578947402,13.06,-10.58,4.84
-0.13761578947368425,0.0001,30.85,-24.35,6.09
-0.11466315789473686,-0.04580526315789474,46.59,-22.80,6.16
-0.436,-0.4130473684210526,45.87,-18.73,10.93
-0.11466315789473686,-0.25237894736842104,14.89,-13.11,3.16
-0.25237894736842104,-0.2982842105263158,16.84,-8.69,10.93
-0.436,-0.2294263157894737,11.50,-12.13,7.81
-0.436,-0.39009473684210527,9.93,-15.03,4.20
-0.06875789473684213,-0.04580526315789474,11.96,-13.22,2.82
-0.34418947368421055,-0.16056842105263158,48.90,-7.29,11.12
-0.34418947368421055,-0.022852631578947402,12.92,-16.39,5.41
-0.13761578947368425,-0.25237894736842104,12.92,-20.64,2.50
-0.436,-0.06875789473684213,15.91,-10.76,10.33
-0.32123684210526315,-0.25237894736842104,8.99,-17.12,2.78
-0.16056842105263158,-0.13761578947368425,10.28,-14.93,5.59
-0.4130473684210526,-0.436,24.54,-15.03,12.18
-0.16056842105263158,-0.022852631578947402,13.73,-12.27,3.34
-0.2294263157894737,-0.436,44.38,-20.87,6.99
-0.18352105263157897,-0.09171052631578952,15.25,-10.54,6.03
-0.32123684210526315,-0.09171052631578952,29.87,-18.25,10.86
-0.11466315789473686,-0.39009473684210527,15.33,-19.93,5.41
-0.34418947368421055,-0.4130473684210526,13.52,-8.35,7.72
-0.4130473684210526,-0.09171052631578952,12.45,-11.29,4.71
0.0001,-0.022852631578947402,9.58,-17.09,2.90
-0.436,-0.436,51.80,2.63,7.42
-0.20647368421052634,-0.06875789473684213,15.43,-10.91,2.82
-0.18352105263157897,-0.25237894736842104,31.48,-20.27,8.62
-0.11466315789473686,-0.3671421052631579,17.33,-12.43,10.13
-0.2753315789473684,-0.16056842105263158,13.95,-7.74,8.65
-0.39009473684210527,-0.11466315789473686,15.15,-16.37,7.94
-0.06875789473684213,-0.20647368421052634,10.00,-17.38,3.85
-0.16056842105263158,-0.3671421052631579,21.11,-6.74,12.61
-0.04580526315789474,-0.2294263157894737,13.60,-8.92,8.43
-0.06875789473684213,-0.09171052631578952,18.51,-4.75,11.98
-0.2753315789473684,-0.2294263157894737,38.17,-6.54,14.44
-0.022852631578947402,-0.04580526315789474,13.59,-14.14,7.89
-0.2294263157894737,-0.20647368421052634,46.61,-1.24,11.26
-0.18352105263157897,-0.39009473684210527,17.68,-14.02,9.46
-0.09171052631578952,-0.04580526315789474,13.18,-9.95,7.40
-0.2294263157894737,-0.06875789473684213,46.97,-11.23,11.38
-0.2982842105263158,0.0001,29.09,-22.23,8.40
-0.436,-0.3671421052631579,20.19,-24.39,2.31
-0.04580526315789474,-0.04580526315789474,12.40,-14.33,2.76
-0.3671421052631579,-0.3671421052631579,49.23,-3.56,10.67
-0.04580526315789474,-0.436,14.52,-12.42,5.07
-0.18352105263157897,-0.13761578947368425,13.55,-5.06,6.70
-0.32123684210526315,-0.32123684210526315,24.47,-15.18,11.45
-0.16056842105263158,0.0001,11.93,-13.46,6.30
-0.2753315789473684,-0.2982842105263158,45.80,-22.32,5.08
0.0001,-0.4130473684210526,13.67,-13.93,6.88
-0.436,-0.16056842105263158,13.47,-3.90,7.12
-0.25237894736842104,-0.2753315789473684,9.32,-15.31,3.59
-0.022852631578947402,-0.2753315789473684,11.56,-12.87,7.44
-0.2753315789473684,-0.25237894736842104,15.47,-3.72,10.50
-0.2294263157894737,-0.39009473684210527,11.46,-12.83,7.65
-0.25237894736842104,-0.06875789473684213,12.36,-10.71,6.79
-0.2982842105263158,-0.25237894736842104,23.46,-22.06,7.21
-0.39009473684210527,-0.25237894736842104,11.81,-15.26,6.78
-0.11466315789473686,-0.436,10.09,-15.34,4.91
-0.04580526315789474,-0.39009473684210527,13.24,-7.83,6.73
-0.06875789473684213,0.0001,12.75,-4.99,7.72
-0.09171052631578952,-0.18352105263157897,57.40,-7.03,5.60
-0.2982842105263158,-0.18352105263157897,28.49,-8.21,13.44
-0.2753315789473684,-0.2753315789473684,13.25,-16.13,7.21
-0.2982842105263158,-0.3671421052631579,11.23,-13.95,6.99
-0.32123684210526315,-0.436,11.72,-12.56,5.94
-0.436,-0.04580526315789474,13.05,-11.74,4.32
-0.25237894736842104,-0.13761578947368425,9.13,-17.41,1.76
-0.022852631578947402,-0.39009473684210527,18.79,-18.58,8.16
-0.2753315789473684,0.0001,14.23,-4.75,8.06
-0.39009473684210527,-0.34418947368421055,23.59,-24.74,2.49
-0.3671421052631579,-0.436,12.44,-14.87,3.95
-0.2294263157894737,-0.2982842105263158,12.53,-11.96,3.29
-0.25237894736842104,-0.04580526315789474,12.67,-11.39,7.93
-0.022852631578947402,-0.3671421052631579,26.31,-23.75,5.87
-0.39009473684210527,-0.13761578947368425,14.84,-5.05,8.42
-0.34418947368421055,0.0001,9.89,-16.23,4.21
-0.4130473684210526,-0.18352105263157897,13.89,-21.84,1.27
-0.436,-0.11466315789473686,9.63,-17.28,3.23
-0.4130473684210526,-0.20647368421052634,8.88,-17.35,2.87
-0.04580526315789474,-0.25237894736842104,9.47,-16.53,3.52
-0.39009473684210527,-0.04580526315789474,17.33,-4.83,11.42
-0.04580526315789474,-0.4130473684210526,10.06,-17.99,2.63
-0.32123684210526315,-0.04580526315789474,13.91,-5.71,7.29
0.0001,-0.11466315789473686,15.81,-21.14,3.86
-0.13761578947368425,-0.34418947368421055,36.11,-0.49,13.78
-0.39009473684210527,-0.09171052631578952,14.82,-8.01,9.40
-0.11466315789473686,-0.09171052631578952,9.69,-17.34,3.56
-0.022852631578947402,-0.2982842105263158,37.41,-14.24,13.55
-0.4130473684210526,-0.2294263157894737,16.53,-4.27,10.53
-0.06875789473684213,-0.436,10.05,-14.52,4.73
-0.2753315789473684,-0.11466315789473686,13.64,-6.35,6.81
-0.04580526315789474,0.0001,17.43,-18.76,7.41
-0.16056842105263158,-0.436,58.36,-5.34,5.44
-0.16056842105263158,-0.39009473684210527,16.40,-8.26,6.52
-0.2982842105263158,-0.11466315789473686,12.32,-8.53,7.38
-0.2753315789473684,-0.06875789473684213,15.15,-18.66,6.43
-0.2753315789473684,-0.436,20.12,-22.16,6.10
-0.13761578947368425,-0.2982842105263158,13.58,-11.90,5.15
0.0001,-0.3671421052631579,14.11,-8.76,9.62
-0.06875789473684213,-0.13761578947368425,13.39,-3.23,8.40
-0.39009473684210527,-0.16056842105263158,29.78,-5.80,14.37
-0.32123684210526315,-0.4130473684210526,10.91,-16.24,4.77
-0.4130473684210526,-0.25237894736842104,12.10,-12.29,4.37
-0.09171052631578952,-0.16056842105263158,10.31,-14.38,4.37
-0.022852631578947402,-0.2294263157894737,26.94,-8.24,13.92
-0.436,-0.18352105263157897,20.57,-3.01,12.54
-0.18352105263157897,-0.06875789473684213,9.89,-15.13,4.31
-0.32123684210526315,0.0001,33.98,-20.48,10.14
-0.16056842105263158,-0.34418947368421055,18.53,-23.64,2.10
-0.18352105263157897,-0.2294263157894737,13.01,-10.26,8.13
-0.20647368421052634,-0.13761578947368425,15.55,-11.88,10.44
-0.06875789473684213,-0.4130473684210526,21.87,-16.73,10.99
-0.4130473684210526,-0.04580526315789474,14.81,-6.47,7.88
0.0001,-0.2753315789473684,9.27,-17.55,2.15
-0.4130473684210526,-0.06875789473684213,15.21,-3.22,10.05
-0.20647368421052634,-0.20647368421052634,9.42,-17.14,2.85
-0.20647368421052634,-0.09171052631578952,16.38,-14.61,9.84
-0.4130473684210526,-0.39009473684210527,26.74,-20.04,10.33
-0.25237894736842104,-0.16056842105263158,13.51,-13.81,3.87
-0.13761578947368425,-0.20647368421052634,17.68,-16.85,8.87
-0.32123684210526315,-0.022852631578947402,20.67,-11.14,12.57
-0.09171052631578952,-0.436,17.30,-22.53,3.37
-0.06875789473684213,-0.16056842105263158,14.31,-7.58,6.82
-0.2753315789473684,-0.3671421052631579,26.44,-5.91,14.11
-0.16056842105263158,-0.18352105263157897,12.79,-11.45,7.03
-0.25237894736842104,-0.25237894736842104,20.50,-12.26,12.12
-0.06875789473684213,-0.39009473684210527,12.86,-13.38,8.58
-0.022852631578947402,-0.18352105263157897,13.78,-6.26,8.34
0.0001,-0.25237894736842104,22.94,-2.33,13.29
-0.11466315789473686,-0.32123684210526315,17.81,-1.86,11.60
-0.2753315789473684,-0.022852631578947402,13.65,-7.18,9.88
-0.04580526315789474,-0.20647368421052634,23.18,-24.95,4.30
-0.16056842105263158,-0.32123684210526315,22.90,-6.08,13.28
-0.436,-0.13761578947368425,13.44,-9.39,9.59
-0.2294263157894737,0.0001,9.06,-16.28,3.75
-0.06875789473684213,-0.2982842105263158,32.44,-27.17,3.12
-0.11466315789473686,-0.34418947368421055,16.15,-7.23,10.30
-0.25237894736842104,-0.4130473684210526,13.59,-7.59,9.48
-0.3671421052631579,-0.34418947368421055,12.69,-10.44,6.58
-0.16056842105263158,-0.20647368421052634,11.24,-12.62,5.34
-0.16056842105263158,-0.2982842105263158,18.68,-11.46,11.75
-0.09171052631578952,-0.022852631578947402,13.90,-9.70,9.95
-0.2982842105263158,-0.4130473684210526,52.77,-11.16,10.28
0.0001,0.0001,15.45,-11.78,5.65
-0.11466315789473686,-0.06875789473684213,54.22,4.86,4.79
-0.09171052631578952,-0.20647368421052634,48.91,-12.16,12.34
-0.34418947368421055,-0.2753315789473684,25.17,-8.08,13.56
-0.09171052631578952,-0.09171052631578952,11.42,-13.96,6.33
-0.20647368421052634,-0.3671421052631579,38.55,-9.89,14.11
-0.3671421052631579,-0.11466315789473686,14.36,-10.33,8.05
-0.2753315789473684,-0.09171052631578952,10.19,-17.22,4.25
-0.13761578947368425,-0.18352105263157897,18.26,-20.43,6.71
-0.13761578947368425,-0.39009473684210527,22.67,-12.45,12.67
0.0001,-0.16056842105263158,14.09,-8.56,8.15
-0.3671421052631579,-0.04580526315789474,25.05,-0.74,13.13
-0.25237894736842104,-0.18352105263157897,11.86,-18.61,3.00
-0.06875789473684213,-0.2753315789473684,15.37,-17.13,8.12
-0.25237894736842104,-0.34418947368421055,16.02,-6.66,10.94
-0.2982842105263158,-0.022852631578947402,12.05,-11.32,7.34
-0.06875789473684213,-0.25237894736842104,19.00,-23.15,3.48
-0.3671421052631579,0.0001,18.04,-7.17,11.44
-0.436,-0.32123684210526315,11.67,-19.70,1.56
0.0001,-0.06875789473684213,11.27,-14.92,2.87
-0.20647368421052634,-0.18352105263157897,43.06,2.13,11.94
-0.13761578947368425,-0.04580526315789474,21.44,-14.41,11.05
-0.04580526315789474,-0.3671421052631579,45.25,-17.92,11.04
-0.2294263157894737,-0.04580526315789474,16.49,-5.59,8.94
0.0001,-0.436,29.26,-23.40,7.36
-0.25237894736842104,-0.2294263157894737,15.28,-4.53,6.71
-0.39009473684210527,0.0001,13.00,-13.32,8.20
-0.2982842105263158,-0.13761578947368425,9.56,-18.91,1.07
-0.11466315789473686,-0.16056842105263158,13.88,-19.03,5.83
-0.436,-0.34418947368421055,26.78,-12.09,13.68
-0.34418947368421055,-0.436,13.01,-13.85,4.42
-0.09171052631578952,-0.25237894736842104,12.58,-11.74,3.90
-0.022852631578947402,-0.4130473684210526,17.76,-6.75,11.42
-0.20647368421052634,-0.436,14.26,-3.82,7.91
-0.09171052631578952,-0.2294263157894737,12.67,-8.72,6.41
