rx,ry,B_x,B_y,B_z
0,0,39.81,0.96,4.09
-0.524,-0.524,11.54,-5.78,-0.47
-0.5026122448979592,-0.5026122448979592,9.48,-6.22,-0.75
-0.48122448979591836,-0.48122448979591836,9.72,-6.41,-0.14
-0.45983673469387754,-0.45983673469387754,9.97,-6.67,0.50
-0.43844897959183676,-0.43844897959183676,10.10,-6.95,1.18
-0.41706122448979593,-0.41706122448979593,10.19,-7.17,1.74
-0.3956734693877551,-0.3956734693877551,10.38,-7.86,2.93
-0.37428571428571433,-0.37428571428571433,10.43,-8.23,3.64
-0.3528979591836735,-0.3528979591836735,10.49,-8.42,4.24
-0.3315102040816327,-0.3315102040816327,10.65,-8.48,4.90
-0.31012244897959185,-0.31012244897959185,11.23,-8.71,5.59
-0.288734693877551,-0.288734693877551,11.97,-8.79,6.31
-0.2673469387755102,-0.2673469387755102,13.06,-9.08,7.12
-0.24595918367346936,-0.24595918367346936,14.87,-9.35,8.09
-0.2245714285714286,-0.2245714285714286,18.14,-9.78,9.38
-0.20318367346938776,-0.20318367346938776,20.92,-9.84,10.40
-0.18179591836734693,-0.18179591836734693,23.94,-9.51,11.22
-0.1604081632653061,-0.1604081632653061,26.01,-8.15,9.34
-0.13902040816326527,-0.13902040816326527,28.59,-7.07,9.41
-0.1176326530612245,-0.1176326530612245,31.48,-5.94,9.37
-0.09624489795918367,-0.09624489795918367,34.59,-4.39,8.99
-0.07485714285714284,-0.07485714285714284,37.54,-2.55,8.20
-0.053469387755102016,-0.053469387755102016,40.01,-0.47,6.93
-0.03208163265306119,-0.03208163265306119,41.74,1.94,5.24
-0.010693877551020359,-0.010693877551020359,42.35,4.29,3.19
0.01069387755102047,0.01069387755102047,41.68,6.69,1.01
0.0320816326530613,0.0320816326530613,39.64,8.62,-1.13
0.053469387755102016,0.053469387755102016,36.71,10.09,-3.06
0.07485714285714284,0.07485714285714284,32.76,11.01,-4.61
0.09624489795918367,0.09624489795918367,28.52,11.17,-5.72
0.1176326530612245,0.1176326530612245,24.30,10.93,-6.33
0.13902040816326533,0.13902040816326533,20.40,10.22,-6.50
0.16040816326530616,0.16040816326530616,16.95,9.30,-6.47
0.181795918367347,0.181795918367347,13.95,8.34,-6.17
0.20318367346938782,0.20318367346938782,11.67,7.41,-5.81
0.22457142857142864,0.22457142857142864,10.55,6.81,-5.53
0.24595918367346947,0.24595918367346947,10.18,6.53,-5.24
0.2673469387755103,0.2673469387755103,9.97,6.20,-5.00
0.288734693877551,0.288734693877551,9.92,5.87,-4.69
0.31012244897959185,0.31012244897959185,9.89,5.57,-4.34
0.3315102040816327,0.3315102040816327,10.36,5.37,-3.95
0.3528979591836735,0.3528979591836735,10.79,5.05,-3.45
0.37428571428571433,0.37428571428571433,11.10,4.67,-2.96
0.39567346938775516,0.39567346938775516,11.34,4.27,-2.38
0.417061224489796,0.417061224489796,11.36,3.84,-1.87
0.4384489795918368,0.4384489795918368,11.36,3.44,-1.30
0.45983673469387765,0.45983673469387765,11.25,3.05,-0.81
0.48122448979591836,0.48122448979591836,14.15,3.77,-3.96
0.5026122448979593,0.5026122448979593,16.87,4.61,-5.22
