rx,ry,B_x,B_y,B_z
0,0,30.18,7.04,-1.15
0.1289473684210526,-0.2763157894736842,13.20,6.71,3.77
0.1289473684210526,-0.16578947368421051,12.02,6.74,4.14
0.23947368421052628,0.1657894736842105,15.04,8.75,5.76
-0.3131578947368421,0.1657894736842105,13.45,14.93,-3.36
0.23947368421052628,0.20263157894736838,10.17,-9.92,-4.61
-0.09210526315789475,-0.05526315789473685,11.95,13.00,-5.43
-0.09210526315789475,-0.12894736842105264,30.52,-2.66,7.67
0.20263157894736838,-0.2394736842105263,23.26,-2.10,8.77
0.2763157894736842,0.35,11.71,7.44,3.41
-0.2763157894736842,-0.3131578947368421,10.32,11.94,-4.95
0.35,0.3131578947368421,10.95,-1.73,2.82
0.1289473684210526,0.1289473684210526,10.46,11.84,-3.12
-0.2026315789473684,-0.09210526315789475,28.07,17.38,-5.40
0.23947368421052628,-0.09210526315789475,18.63,-6.27,5.90
0.20263157894736838,-0.01842105263157895,12.50,10.36,3.30
-0.05526315789473685,0.3131578947368421,16.89,14.01,3.14
0.2763157894736842,0.01842105263157895,14.96,0.63,-16.73
-0.35,0.23947368421052628,12.04,12.86,-1.67
-0.35,-0.2394736842105263,6.73,-7.89,-5.71
0.3131578947368421,-0.05526315789473685,10.49,-5.01,1.92
-0.2763157894736842,-0.35,9.41,10.35,0.96
0.09210526315789469,0.20263157894736838,11.11,-1.14,2.36
-0.3131578947368421,0.2763157894736842,23.74,13.75,-13.03
-0.16578947368421051,0.35,7.33,-7.15,-7.99
-0.2763157894736842,-0.2394736842105263,8.56,-5.67,-13.03
0.05526315789473685,-0.16578947368421051,11.22,-4.20,3.02
0.01842105263157895,0.09210526315789469,18.46,6.58,7.04
0.23947368421052628,-0.16578947368421051,47.13,11.01,-3.97
-0.3131578947368421,-0.2763157894736842,13.13,10.01,2.21
0.3131578947368421,-0.12894736842105264,10.74,-2.53,3.46
0.3131578947368421,0.20263157894736838,9.32,9.25,1.72
0.05526315789473685,-0.09210526315789475,9.26,12.89,-3.02
0.3131578947368421,-0.3131578947368421,25.07,9.05,7.24
-0.05526315789473685,-0.09210526315789475,10.62,7.38,0.83
0.23947368421052628,-0.35,27.05,-0.42,9.26
-0.35,-0.05526315789473685,11.51,6.11,1.54
-0.2026315789473684,0.09210526315789469,9.97,-7.93,2.54
0.1657894736842105,-0.01842105263157895,28.17,-18.00,-2.68
-0.09210526315789475,-0.35,22.76,13.57,3.07
-0.05526315789473685,-0.35,13.00,1.71,4.09
0.01842105263157895,0.2763157894736842,12.59,1.55,4.19
0.09210526315789469,-0.05526315789473685,23.92,6.37,-17.61
0.3131578947368421,0.05526315789473685,29.49,12.66,2.38
0.1289473684210526,0.2763157894736842,10.93,13.15,-0.90
-0.12894736842105264,0.20263157894736838,11.61,11.67,-11.77
-0.01842105263157895,0.3131578947368421,21.85,-4.09,-18.03
-0.2394736842105263,0.2763157894736842,18.88,1.63,-18.55
