rx,ry,B_x,B_y,B_z
0,0,29.80,7.02,-1.11
-0.35,0.0001,11.34,-8.88,0.89
-0.3357142857142857,0.0001,9.99,-9.93,1.05
-0.3214285714285714,0.0001,10.46,-10.17,1.18
-0.3071428571428571,0.0001,11.53,-10.63,1.36
-0.2928571428571428,0.0001,12.66,-11.17,1.54
-0.2785714285714286,0.0001,13.97,-11.60,1.72
-0.26428571428571423,0.0001,15.34,-12.11,1.92
-0.25,0.0001,16.92,-12.54,2.17
-0.2357142857142857,0.0001,18.64,-12.92,2.42
-0.22142857142857142,0.0001,20.38,-13.25,2.71
-0.20714285714285713,0.0001,22.33,-13.44,3.02
-0.19285714285714284,0.0001,24.32,-13.62,3.42
-0.17857142857142855,0.0001,26.41,-13.60,3.76
-0.16428571428571426,0.0001,28.60,-13.43,4.11
-0.15,0.0001,30.76,-13.09,4.48
-0.1357142857142857,0.0001,33.03,-12.51,4.84
-0.12142857142857141,0.0001,35.15,-11.78,5.14
-0.10714285714285712,0.0001,37.32,-10.79,5.46
-0.09285714285714286,0.0001,39.25,-9.60,5.77
-0.07857142857142857,0.0001,41.04,-8.11,6.04
-0.06428571428571428,0.0001,42.51,-6.56,6.22
-0.04999999999999999,0.0001,43.84,-4.65,6.39
-0.0357142857142857,0.0001,44.63,-2.79,6.47
-0.021428571428571408,0.0001,45.22,-0.69,6.52
-0.0071428571428571175,0.0001,45.25,1.26,6.45
0.007142857142857173,0.0001,44.96,3.37,6.34
0.021428571428571463,0.0001,44.30,5.36,6.16
0.0357142857142857,0.0001,43.22,7.36,5.94
0.04999999999999999,0.0001,42.03,9.11,5.69
0.06428571428571428,0.0001,40.45,10.77,5.34
0.07857142857142857,0.0001,38.62,12.19,5.01
0.09285714285714286,0.0001,36.53,13.36,4.60
0.10714285714285715,0.0001,34.42,14.34,4.21
0.12142857142857144,0.0001,32.30,15.05,3.88
0.13571428571428573,0.0001,30.07,15.58,3.46
0.15000000000000002,0.0001,27.92,15.94,3.07
0.16428571428571426,0.0001,25.87,16.14,2.72
0.1785714285714286,0.0001,23.95,16.24,2.43
0.19285714285714284,0.0001,22.11,16.18,2.11
0.20714285714285718,0.0001,20.46,16.04,1.88
0.22142857142857142,0.0001,18.69,15.79,1.60
0.23571428571428577,0.0001,17.16,15.49,1.37
0.25,0.0001,15.69,15.10,1.14
0.26428571428571423,0.0001,14.36,14.68,1.02
0.2785714285714286,0.0001,13.10,14.24,0.89
0.2928571428571428,0.0001,11.95,13.73,0.67
0.30714285714285716,0.0001,10.90,13.25,0.61
0.3214285714285714,0.0001,10.06,12.79,0.48
0.33571428571428574,0.0001,9.42,12.34,0.39
0.35,0.0001,9.17,12.04,0.28
