rx,ry,B_x,B_y,B_z
0,0,29.75,7.71,-1.37
0.0001,-0.35,14.39,3.41,3.47
0.0001,-0.3357142857142857,13.24,3.18,3.79
0.0001,-0.3214285714285714,13.00,3.17,4.13
0.0001,-0.3071428571428571,12.84,3.17,4.53
0.0001,-0.2928571428571428,12.82,3.23,4.84
0.0001,-0.2785714285714286,13.03,3.26,5.27
0.0001,-0.26428571428571423,13.32,3.33,5.65
0.0001,-0.25,13.81,3.34,5.99
0.0001,-0.2357142857142857,14.45,3.47,6.33
0.0001,-0.22142857142857142,15.12,3.47,6.66
0.0001,-0.20714285714285713,16.00,3.49,7.04
0.0001,-0.19285714285714284,16.89,3.56,7.34
0.0001,-0.17857142857142855,17.96,3.61,7.67
0.0001,-0.16428571428571426,19.04,3.75,7.98
0.0001,-0.15,20.22,3.83,8.32
0.0001,-0.1357142857142857,21.55,3.90,8.61
0.0001,-0.12142857142857141,22.93,4.02,8.81
0.0001,-0.10714285714285712,24.35,4.12,9.03
0.0001,-0.09285714285714286,26.01,4.26,9.18
0.0001,-0.07857142857142857,27.76,4.46,9.27
0.0001,-0.06428571428571428,29.56,4.58,9.37
0.0001,-0.04999999999999999,31.67,4.72,9.27
0.0001,-0.0357142857142857,33.90,4.96,9.04
0.0001,-0.021428571428571408,36.31,5.14,8.63
0.0001,-0.0071428571428571175,38.83,5.38,8.08
0.0001,0.007142857142857173,41.39,5.60,7.21
0.0001,0.021428571428571463,44.00,5.84,6.16
0.0001,0.0357142857142857,46.63,6.01,4.83
0.0001,0.04999999999999999,48.98,6.25,3.17
0.0001,0.06428571428571428,51.06,6.50,1.13
0.0001,0.07857142857142857,52.73,6.62,-1.01
0.0001,0.09285714285714286,53.89,6.74,-3.38
0.0001,0.10714285714285715,54.49,6.83,-5.94
0.0001,0.12142857142857144,54.41,6.87,-8.51
0.0001,0.13571428571428573,53.81,6.92,-11.17
0.0001,0.15000000000000002,52.26,6.82,-13.66
0.0001,0.16428571428571426,50.15,6.78,-15.89
0.0001,0.1785714285714286,48.06,6.55,-16.59
0.0001,0.19285714285714284,46.06,6.36,-17.08
0.0001,0.20714285714285718,43.21,5.99,-17.67
0.0001,0.22142857142857142,40.82,5.77,-18.00
0.0001,0.23571428571428577,37.49,5.51,-18.44
0.0001,0.25,33.68,5.29,-18.91
0.0001,0.26428571428571423,29.50,5.03,-19.29
0.0001,0.2785714285714286,25.65,4.78,-19.53
0.0001,0.2928571428571428,22.03,4.50,-19.27
0.0001,0.30714285714285716,19.87,4.38,-19.00
0.0001,0.3214285714285714,19.18,4.32,-18.80
0.0001,0.33571428571428574,18.80,4.31,-18.64
0.0001,0.35,15.03,4.00,-18.05
