rx,ry,B_x,B_y,B_z
0,0,34.64,5.55,4.66
0.1289473684210526,-0.09210526315789475,24.82,10.12,6.73
-0.12894736842105264,-0.3131578947368421,24.13,10.39,6.82
-0.2763157894736842,-0.09210526315789475,15.05,-2.54,9.46
0.20263157894736838,-0.12894736842105264,20.08,-10.65,5.87
0.3131578947368421,-0.2026315789473684,15.96,8.50,6.12
-0.2763157894736842,-0.3131578947368421,9.78,7.66,3.77
0.35,0.1657894736842105,12.41,-6.41,6.57
-0.2026315789473684,0.1657894736842105,10.55,6.37,-0.65
-0.09210526315789475,-0.35,22.23,-6.39,-4.58
0.1657894736842105,0.3131578947368421,13.57,-3.15,8.37
0.35,0.20263157894736838,13.13,4.54,-3.15
0.20263157894736838,0.3131578947368421,10.82,6.44,-1.89
-0.2026315789473684,0.01842105263157895,11.98,5.37,-3.09
0.01842105263157895,-0.16578947368421051,29.64,-8.59,0.46
-0.16578947368421051,-0.05526315789473685,26.67,2.60,10.56
-0.2026315789473684,0.23947368421052628,31.87,-5.88,7.53
-0.01842105263157895,0.1289473684210526,19.19,-6.66,-4.24
-0.35,0.2763157894736842,30.56,0.62,-4.92
0.1289473684210526,0.35,14.61,-6.96,-2.81
-0.01842105263157895,-0.2394736842105263,13.16,2.41,-4.10
0.3131578947368421,0.01842105263157895,18.76,2.25,10.40
-0.12894736842105264,0.2763157894736842,11.15,8.91,1.63
-0.09210526315789475,-0.12894736842105264,17.92,-2.24,-5.78
-0.2394736842105263,0.1289473684210526,31.30,-2.47,9.09
-0.2026315789473684,-0.05526315789473685,24.18,-9.48,-2.00
0.2763157894736842,0.23947368421052628,29.74,-10.12,4.02
0.09210526315789469,0.20263157894736838,12.76,5.80,-2.19
-0.3131578947368421,-0.01842105263157895,19.02,7.13,-5.04
0.1289473684210526,0.1289473684210526,19.86,-11.26,1.34
-0.35,0.1289473684210526,23.61,8.32,-2.84
0.1289473684210526,-0.2763157894736842,15.04,-9.22,-1.96
0.23947368421052628,0.05526315789473685,12.56,4.18,7.97
-0.05526315789473685,0.2763157894736842,14.67,10.73,1.15
-0.35,-0.35,18.85,0.86,-6.16
-0.09210526315789475,0.2763157894736842,12.85,-7.68,4.12
0.01842105263157895,0.09210526315789469,18.64,-2.60,-5.76
0.1289473684210526,0.23947368421052628,32.22,4.97,-3.91
-0.3131578947368421,0.01842105263157895,17.45,6.41,-5.16
-0.05526315789473685,0.01842105263157895,19.86,-11.06,0.01
-0.2394736842105263,0.05526315789473685,37.88,-2.71,2.58
0.1657894736842105,0.2763157894736842,28.00,-10.30,-0.21
0.2763157894736842,0.05526315789473685,14.30,4.69,-4.26
-0.01842105263157895,-0.2763157894736842,12.19,9.69,-0.89
0.35,-0.35,15.77,2.49,10.08
0.05526315789473685,-0.3131578947368421,10.13,5.37,4.01
-0.05526315789473685,-0.05526315789473685,11.29,3.28,8.59
-0.09210526315789475,0.05526315789473685,31.46,1.96,10.55
-0.2394736842105263,-0.12894736842105264,37.97,-1.66,2.81
0.20263157894736838,0.23947368421052628,24.62,-9.86,6.88
-0.12894736842105264,-0.2394736842105263,13.76,5.91,-3.17
-0.09210526315789475,-0.2394736842105263,19.74,-3.23,10.17
0.09210526315789469,0.3131578947368421,20.49,-2.55,11.47
-0.16578947368421051,-0.09210526315789475,14.88,3.56,-4.36
0.01842105263157895,-0.05526315789473685,31.53,-6.31,6.56
0.35,0.23947368421052628,36.60,3.02,7.72
-0.16578947368421051,0.1657894736842105,12.23,6.31,-1.08
-0.2026315789473684,-0.2026315789473684,24.97,-4.83,-5.37
-0.2763157894736842,0.20263157894736838,20.92,-8.45,8.28
-0.2026315789473684,-0.16578947368421051,16.81,-9.14,-2.71
0.3131578947368421,-0.09210526315789475,22.61,-9.52,7.82
0.1289473684210526,-0.3131578947368421,10.52,7.83,3.22
-0.01842105263157895,0.35,10.51,5.31,7.48
0.3131578947368421,0.35,15.52,1.11,-4.86
0.20263157894736838,-0.16578947368421051,11.69,4.66,-2.09
-0.2026315789473684,0.35,13.82,9.35,5.70
0.01842105263157895,0.05526315789473685,14.76,-3.94,-3.89
0.05526315789473685,0.3131578947368421,35.81,5.62,-0.70
-0.16578947368421051,0.35,16.89,3.41,-5.62
0.3131578947368421,0.1657894736842105,15.12,-3.36,-5.10
0.2763157894736842,-0.05526315789473685,11.30,7.11,-2.15
-0.2763157894736842,-0.2394736842105263,11.91,10.29,1.95
-0.2394736842105263,0.23947368421052628,14.36,-7.72,7.24
-0.3131578947368421,0.1289473684210526,16.92,-7.98,-3.81
-0.3131578947368421,0.1657894736842105,17.28,-10.60,-2.65
-0.2394736842105263,0.09210526315789469,16.18,-10.20,-2.90
0.35,0.1289473684210526,23.84,-10.80,-2.14
-0.2026315789473684,0.3131578947368421,11.29,6.98,-1.16
-0.01842105263157895,0.20263157894736838,14.83,-4.31,-4.94
0.20263157894736838,0.05526315789473685,24.24,1.19,-6.96
0.1657894736842105,-0.2026315789473684,19.84,11.43,-1.07
0.01842105263157895,0.2763157894736842,14.96,9.20,7.09
0.1657894736842105,0.1289473684210526,18.45,3.45,-5.76
-0.16578947368421051,-0.2763157894736842,20.33,9.75,-3.63
0.09210526315789469,0.35,16.60,-4.16,9.47
0.23947368421052628,-0.05526315789473685,14.22,2.84,-4.08
0.23947368421052628,0.3131578947368421,15.17,11.26,2.22
-0.16578947368421051,-0.35,12.12,6.28,-2.70
-0.05526315789473685,-0.35,12.31,-3.91,8.23
0.09210526315789469,0.1657894736842105,11.96,-1.78,9.71
0.05526315789473685,-0.35,24.06,8.13,-3.52
0.05526315789473685,0.01842105263157895,11.96,2.95,8.20
0.09210526315789469,-0.3131578947368421,30.82,9.49,6.78
-0.2763157894736842,0.1289473684210526,13.26,4.51,8.89
-0.35,0.20263157894736838,20.34,-10.14,-1.75
0.05526315789473685,-0.09210526315789475,14.28,-9.51,-2.63
0.35,-0.2026315789473684,29.82,6.43,9.34
0.09210526315789469,0.05526315789473685,10.33,7.63,3.66
0.23947368421052628,0.01842105263157895,27.33,12.14,2.10
0.20263157894736838,0.01842105263157895,17.02,12.02,1.56
0.23947368421052628,-0.01842105263157895,18.88,12.58,1.87
-0.2394736842105263,-0.35,16.27,12.01,2.41
-0.16578947368421051,0.3131578947368421,12.45,-5.24,7.41
0.1289473684210526,0.20263157894736838,15.57,-4.78,-4.81
0.1289473684210526,0.3131578947368421,18.86,6.50,-5.59
0.1289473684210526,-0.12894736842105264,14.22,4.94,-5.22
-0.35,-0.09210526315789475,21.76,11.17,6.52
0.3131578947368421,0.2763157894736842,16.26,-10.74,3.74
-0.2026315789473684,0.2763157894736842,11.52,5.08,-1.96
-0.35,0.01842105263157895,15.93,-4.91,-5.55
0.09210526315789469,-0.12894736842105264,16.65,-12.05,-0.29
-0.09210526315789475,-0.2026315789473684,24.57,6.64,10.07
0.23947368421052628,-0.09210526315789475,23.84,-0.43,12.38
0.35,-0.05526315789473685,15.14,10.20,5.45
-0.2026315789473684,-0.01842105263157895,9.73,9.01,2.39
-0.2026315789473684,-0.35,31.70,-7.74,5.08
0.23947368421052628,0.23947368421052628,13.83,-6.22,8.16
-0.12894736842105264,-0.09210526315789475,12.20,6.65,-2.48
0.2763157894736842,0.1289473684210526,34.81,-1.43,8.18
-0.01842105263157895,-0.09210526315789475,13.58,8.76,-1.02
0.23947368421052628,-0.12894736842105264,32.73,8.44,8.29
0.1657894736842105,0.23947368421052628,15.10,10.44,5.32
-0.01842105263157895,0.3131578947368421,14.74,7.71,-3.90
-0.12894736842105264,0.23947368421052628,16.46,1.67,-6.44
0.20263157894736838,0.1289473684210526,20.90,-2.51,-7.06
0.23947368421052628,0.35,17.89,9.65,-3.28
0.1657894736842105,-0.2394736842105263,12.48,5.63,-2.98
0.1657894736842105,0.09210526315789469,12.62,7.51,7.12
0.35,-0.2394736842105263,21.01,12.16,0.29
-0.05526315789473685,-0.3131578947368421,9.75,7.71,2.96
0.20263157894736838,-0.35,13.14,0.29,10.19
0.1289473684210526,-0.35,9.81,4.50,7.18
0.23947368421052628,-0.2763157894736842,9.72,3.91,7.84
-0.12894736842105264,0.20263157894736838,9.41,6.07,6.50
-0.12894736842105264,-0.16578947368421051,24.89,-3.49,-5.64
0.01842105263157895,-0.2763157894736842,28.77,-4.99,10.06
0.1289473684210526,0.2763157894736842,17.36,1.49,11.40
-0.35,0.23947368421052628,15.02,5.56,-4.37
-0.2394736842105263,-0.3131578947368421,13.86,-7.53,-3.19
0.20263157894736838,0.35,13.03,-7.75,7.25
0.01842105263157895,0.23947368421052628,12.64,4.28,-2.76
-0.12894736842105264,-0.12894736842105264,20.32,3.95,-6.77
-0.3131578947368421,0.23947368421052628,32.42,-2.94,9.53
0.20263157894736838,0.20263157894736838,15.63,-8.38,-2.57
