rx,ry,B_x,B_y,B_z
0,0,34.32,-6.32,-9.73
0.08448275862068966,-0.0362068965517241,20.23,11.39,0.01
-0.253448275862069,0.15689655172413797,34.03,0.92,-7.07
0.18103448275862066,0.35,9.86,-13.02,-9.68
-0.3017241379310345,-0.08448275862068966,8.71,2.45,-9.42
-0.13275862068965516,0.060344827586206906,15.23,-22.59,-1.43
-0.20517241379310341,0.10862068965517241,23.79,-15.42,-10.79
0.3258620689655173,0.20517241379310347,15.56,-15.46,-10.44
-0.2293103448275862,0.2775862068965518,11.44,6.42,-7.75
-0.2293103448275862,-0.18103448275862066,5.25,-7.92,-9.44
0.08448275862068966,0.3017241379310345,23.09,-23.48,4.05
0.20517241379310347,-0.20517241379310341,11.45,-0.17,-10.86
-0.3017241379310345,-0.20517241379310341,30.21,8.24,1.36
0.35,-0.06034482758620685,14.50,-21.82,5.65
0.18103448275862066,0.08448275862068966,18.89,10.25,-3.97
-0.2293103448275862,-0.35,22.84,5.35,-9.33
-0.18103448275862066,0.15689655172413797,13.24,-15.53,11.73
0.3258620689655173,-0.1568965517241379,14.39,-13.38,-10.82
-0.35,0.012068965517241403,21.79,10.87,-1.51
-0.27758620689655167,-0.10862068965517241,8.75,-18.71,-4.74
0.15689655172413797,0.22931034482758628,17.13,-23.38,-0.41
0.036206896551724155,0.3017241379310345,14.81,2.36,-10.70
-0.18103448275862066,-0.253448275862069,10.97,-1.13,-11.17
-0.08448275862068966,0.036206896551724155,24.78,-19.19,9.12
-0.2293103448275862,0.060344827586206906,28.73,-12.67,-10.14
0.08448275862068966,0.012068965517241403,16.94,-17.62,-8.94
0.060344827586206906,0.3017241379310345,31.14,0.14,-9.35
0.036206896551724155,0.012068965517241403,11.49,-0.36,-11.07
0.3017241379310345,-0.3017241379310345,31.64,-2.72,-9.63
0.20517241379310347,0.2775862068965518,21.25,10.43,3.75
-0.27758620689655167,0.253448275862069,11.62,3.85,-9.45
0.060344827586206906,-0.35,4.30,-9.01,-8.73
-0.18103448275862066,0.3258620689655173,28.29,-0.67,11.62
0.10862068965517241,-0.3017241379310345,5.53,-6.31,-9.27
0.2775862068965518,0.253448275862069,31.20,2.61,8.42
0.253448275862069,0.10862068965517241,11.29,5.35,-8.24
-0.35,-0.13275862068965516,17.81,6.75,-8.57
0.22931034482758628,-0.3258620689655172,10.33,-21.29,1.30
0.253448275862069,-0.1568965517241379,24.58,7.95,6.50
0.060344827586206906,-0.012068965517241348,27.22,9.68,-0.91
-0.18103448275862066,0.060344827586206906,33.01,-1.08,-8.10
0.08448275862068966,-0.2293103448275862,20.45,-15.66,-9.75
-0.35,0.22931034482758628,36.45,0.59,4.88
0.10862068965517241,-0.253448275862069,2.86,-10.02,-7.11
