rx;ry;B_x;B_y;B_z
0,084482759;-0,036206897;34,03;0,92;-7,07
-0,253448276;0,156896552;9,86;-13,02;-9,68
0,181034483;0,35;8,71;2,45;-9,42
-0,301724138;-0,084482759;15,23;-22,59;-1,43
-0,132758621;0,060344828;23,79;-15,42;-10,79
-0,205172414;0,10862069;15,56;-15,46;-10,44
0,325862069;0,205172414;11,44;6,42;-7,75
-0,229310345;0,277586207;5,25;-7,92;-9,44
-0,229310345;-0,181034483;23,09;-23,48;4,05
0,084482759;0,301724138;11,45;-0,17;-10,86
0,205172414;-0,205172414;30,21;8,24;1,36
-0,301724138;-0,205172414;14,5;-21,82;5,65
0,35;-0,060344828;18,89;10,25;-3,97
0,181034483;0,084482759;22,84;5,35;-9,33
-0,229310345;-0,35;13,24;-15,53;11,73
-0,181034483;0,156896552;14,39;-13,38;-10,82
0,325862069;-0,156896552;21,79;10,87;-1,51
-0,35;0,012068966;8,75;-18,71;-4,74
-0,277586207;-0,10862069;17,13;-23,38;-0,41
0,156896552;0,229310345;14,81;2,36;-10,7
0,036206897;0,301724138;10,97;-1,13;-11,17
-0,181034483;-0,253448276;24,78;-19,19;9,12
-0,084482759;0,036206897;28,73;-12,67;-10,14
-0,229310345;0,060344828;16,94;-17,62;-8,94
0,084482759;0,012068966;31,14;0,14;-9,35
0,060344828;0,301724138;11,49;-0,36;-11,07
0,036206897;0,012068966;31,64;-2,72;-9,63
0,301724138;-0,301724138;21,25;10,43;3,75
0,205172414;0,277586207;11,62;3,85;-9,45
-0,277586207;0,253448276;4,3;-9,01;-8,73
0,060344828;-0,35;28,29;-0,67;11,62
-0,181034483;0,325862069;5,53;-6,31;-9,27
0,10862069;-0,301724138;31,2;2,61;8,42
0,277586207;0,253448276;11,29;5,35;-8,24
0,253448276;0,10862069;17,81;6,75;-8,57
-0,35;-0,132758621;10,33;-21,29;1,3
0,229310345;-0,325862069;24,58;7,95;6,5
0,253448276;-0,156896552;27,22;9,68;-0,91
0,060344828;-0,012068966;33,01;-1,08;-8,1
-0,181034483;0,060344828;20,45;-15,66;-9,75
0,084482759;-0,229310345;36,45;0,59;4,88
-0,35;0,229310345;2,86;-10,02;-7,11
0,10862069;-0,253448276;34,17;2,35;5,83
-0,036206897;0,060344828;28,1;-7,58;-10,83
-0,060344828;0,35;7,47;-3,47;-10,35
-0,35;0,301724138;1,98;-8,54;-7,93
0,036206897;0,10862069;23,68;-2,57;-12,02
-0,132758621;0,132758621;17,7;-10,66;-11,73
0,205172414;0,036206897;24,01;5,83;-8,63
-0,132758621;-0,084482759;32,81;-17,34;-3,32
-0,325862069;-0,181034483;12,38;-21,85;3,71
-0,181034483;0,181034483;12,11;-11,88;-10,84
0,253448276;0,277586207;10,59;4,48;-8,85
-0,277586207;0,036206897;13,44;-18,37;-7,06
-0,229310345;-0,036206897;21,11;-21,52;-5,18
-0,301724138;-0,036206897;14,05;-21,47;-3,85
0,181034483;-0,084482759;30,98;5,84;-4,64
0,253448276;-0,132758621;27,2;9,55;-2,35
0,253448276;0,156896552;16,11;6,26;-8,85
0,205172414;-0,036206897;26,84;7,07;-6,45
0,301724138;-0,132758621;23,22;10,69;-2,41
0,253448276;-0,181034483;26,81;9,84;-0,26
0,229310345;-0,132758621;28,3;8,86;-2,23
0,205172414;-0,012068966;26,36;6,86;-7,05
0,205172414;-0,181034483;30,4;8,08;0,07
-0,325862069;-0,325862069;7,2;-16,41;8,78
0,084482759;0,35;8,87;-0,01;-10,02
-0,301724138;-0,301724138;9,63;-18,28;8,64
-0,325862069;-0,060344828;12,27;-22,45;-0,26
-0,084482759;-0,35;24,99;-12,48;14,02
-0,036206897;-0,277586207;35,18;-11,32;11,27
0,036206897;-0,325862069;32,4;-4,02;12,45
0,10862069;-0,012068966;32,04;1,1;-7,28
-0,10862069;0,012068966;28,73;-13,73;-8,69
-0,205172414;0,084482759;16,76;-15,54;-9,56
-0,181034483;-0,036206897;25,62;-19,7;-5,68
-0,132758621;0,084482759;21,49;-13,61;-10,84
-0,253448276;0,132758621;10,63;-14,18;-9,23
0,325862069;0,132758621;13,94;7,31;-7,4
0,132758621;-0,060344828;31,93;3,63;-5,89
0,35;0,132758621;13,26;7,76;-7,04
-0,132758621;-0,301724138;24,71;-14,39;11,57
0,012068966;0,325862069;9,68;-2,05;-10,56
0,205172414;-0,35;23,89;7,33;7,51
-0,35;0,325862069;2,28;-8,4;-7,66
-0,205172414;0,205172414;9,61;-10,78;-10,58
0,181034483;0,301724138;10,76;2,79;-9,85
0,012068966;0,253448276;13,21;-2,13;-11,66
-0,156896552;-0,036206897;28,57;-18,14;-6,13
0,10862069;-0,277586207;33,11;2,31;7,25
0,301724138;0,10862069;16,25;7,65;-7,48
0,229310345;0,229310345;13,21;4,82;-9,35
-0,012068966;0,060344828;27,69;-5,53;-11,08
0,35;-0,301724138;18,24;10,81;2,88
0,301724138;-0,229310345;22,67;10,9;1,5
0,132758621;-0,181034483;34,91;4,36;1,27
0,181034483;0,325862069;10,02;2,82;-9,42
0,301724138;0,012068966;19,34;8,96;-6,6
-0,253448276;0,253448276;5,22;-8,84;-9,15
-0,156896552;-0,181034483;31,03;-21,12;3,74
-0,156896552;-0,35;19,71;-15,11;12,94
0,132758621;0,084482759;24,86;2,09;-10,23
-0,012068966;0,084482759;26,13;-5,44;-11,72
-0,060344828;0,253448276;12,32;-5,01;-11,84
-0,156896552;0,036206897;23,5;-15,7;-9,72
0,325862069;0,181034483;12,39;6,73;-7,7
-0,301724138;-0,181034483;14,52;-22,26;3,99
-0,277586207;-0,277586207;13,49;-20,43;8,79
-0,205172414;0,325862069;4,62;-7,42;-8,99
0,132758621;0,036206897;26,98;2,4;-9,73
0,325862069;0,10862069;15,1;7,89;-7,45
-0,181034483;0,132758621;14,99;-12,42;-10,94
0,325862069;0,301724138;8,48;5,19;-7,63
0,277586207;-0,060344828;23,23;9,49;-4,97
0,084482759;0,036206897;28,8;0,5;-10,1
0,084482759;0,205172414;17,15;0,38;-11,85
0,060344828;-0,036206897;34,84;-1,05;-7,41
-0,181034483;-0,229310345;26,76;-20,1;8,06
-0,132758621;0,10862069;20,43;-13,07;-11,29
0,35;-0,084482759;19,56;10,59;-3,69
-0,181034483;-0,156896552;29,4;-21,25;3,03
-0,181034483;-0,10862069;29,82;-22;-0,45
-0,301724138;0,301724138;3,14;-8,94;-8,11
0,132758621;0,277586207;12,24;1,57;-10,84
0,181034483;-0,036206897;28,73;5,8;-7,02
0,35;-0,012068966;17,77;10;-5,44
-0,012068966;0,301724138;10,37;-2,5;-11,24
0,060344828;0,205172414;16,58;-0,86;-12,13
-0,156896552;-0,060344828;30,27;-19,43;-4,88
0,10862069;-0,060344828;35,14;1,67;-6,05
0,205172414;0,253448276;13,09;3,87;-9,94
0,253448276;-0,084482759;25,97;9,21;-4,5
-0,35;-0,253448276;7,83;-19,38;6,56
-0,301724138;0,132758621;8,24;-16,41;-8,01
-0,060344828;-0,277586207;34,62;-13,69;11,02
-0,181034483;0,036206897;23,92;-19,69;-8,36
